Categoría,Texto
Vida,"Si parecen románticas las discusiones de parejas y los celos, y el mal de amor, cuanto más románticos son los problemas de la vida, y la conversación con Dios. Si con la misma pasión se discutieran la vida, hasta las noches serían más buenas. Que placer dormir tranquilo, contento y deseando despertarse todos los días. Que placer sentir ganas de vivir. Que placer poder dormir sin problemas de sueño. Que placer poder acostarse sin miedo de no poder dormir. Que placer poder dormir sin miedo a despertarse tarde"
Problemas,"Si parecen románticas las discusiones de parejas y los celos, y el mal de amor, cuanto más románticos son los problemas de la vida, y la conversación con Dios. Si con la misma pasión se discutieran la vida, hasta las noches serían más buenas. Que placer dormir tranquilo, contento y deseando despertarse todos los días. Que placer sentir ganas de vivir. Que placer poder dormir sin problemas de sueño. Que placer poder acostarse sin miedo de no poder dormir. Que placer poder dormir sin miedo a despertarse tarde"
Dios,"Si parecen románticas las discusiones de parejas y los celos, y el mal de amor, cuanto más románticos son los problemas de la vida, y la conversación con Dios. Si con la misma pasión se discutieran la vida, hasta las noches serían más buenas. Que placer dormir tranquilo, contento y deseando despertarse todos los días. Que placer sentir ganas de vivir. Que placer poder dormir sin problemas de sueño. Que placer poder acostarse sin miedo de no poder dormir. Que placer poder dormir sin miedo a despertarse tarde"
Mal,"Si parecen románticas las discusiones de parejas y los celos, y el mal de amor, cuanto más románticos son los problemas de la vida, y la conversación con Dios. Si con la misma pasión se discutieran la vida, hasta las noches serían más buenas. Que placer dormir tranquilo, contento y deseando despertarse todos los días. Que placer sentir ganas de vivir. Que placer poder dormir sin problemas de sueño. Que placer poder acostarse sin miedo de no poder dormir. Que placer poder dormir sin miedo a despertarse tarde"
Conversación,"Si parecen románticas las discusiones de parejas y los celos, y el mal de amor, cuanto más románticos son los problemas de la vida, y la conversación con Dios. Si con la misma pasión se discutieran la vida, hasta las noches serían más buenas. Que placer dormir tranquilo, contento y deseando despertarse todos los días. Que placer sentir ganas de vivir. Que placer poder dormir sin problemas de sueño. Que placer poder acostarse sin miedo de no poder dormir. Que placer poder dormir sin miedo a despertarse tarde"
Poder,"Si parecen románticas las discusiones de parejas y los celos, y el mal de amor, cuanto más románticos son los problemas de la vida, y la conversación con Dios. Si con la misma pasión se discutieran la vida, hasta las noches serían más buenas. Que placer dormir tranquilo, contento y deseando despertarse todos los días. Que placer sentir ganas de vivir. Que placer poder dormir sin problemas de sueño. Que placer poder acostarse sin miedo de no poder dormir. Que placer poder dormir sin miedo a despertarse tarde"
Mal,"Si parecen románticas las discusiones de parejas y los celos, y el mal de amor, cuanto más románticos son los problemas de la vida, y la conversación con Dios. Si con la misma pasión se discutieran la vida, hasta las noches serían más buenas. Que placer dormir tranquilo, contento y deseando despertarse todos los días. Que placer sentir ganas de vivir. Que placer poder dormir sin problemas de sueño. Que placer poder acostarse sin miedo de no poder dormir. Que placer poder dormir sin miedo a despertarse tarde"
Vida,"El arte es un medio de expresión inconsciente y la expresión es vida. El arte se hace porque no se sabe vivir con la misma belleza que se expresa inconsciente. El artista no vive su propio arte ni su arte es lo que busca. El zapatero no viste buenos zapatos. El sastre no anda bien vestido. El sastre no es sastre por su amor a la sastrería, sino por el amor a la vida, a no querer caer en desmotivación. El arte viene de suerte. Si el artista encontrara la belleza en su vida, dejaría de ser artista, y se dedicaría solamente a vivir. Arte es todo lo que se hace con la habilidad, independientemente de ser estético. Ya no se ven artistas estéticos porque nada paga lo estético sino la utilidad, y así se da cuenta el mundo que nadie tiene amor por arte, sino necesidad de encontrarse un motivo en la vida y por sobre todo, lastimosamente, la necesidad de buscarse un sustento de vida, por lo cual importa nada si uno ama lo que hace o no, sino solamente lograr vivir. Si las personas pudieran dejar de trabajar por necesidad, lo harían. Y por encima de eso, si las personas pudieran dejar de hacer un arte por falta de motivo de vida, lo dejarían. El arte no existe sin la falta de motivo de vida. En el momento en que las personas se libren de sus dificultades de vida, dejarán de hacer todo lo que hacen y se dedicarán a vivir, como una persona que trabaja por necesidad dejará de trabajar en cuanto logre librarse de su necesidad. La inconsciencia es una deuda de la vida. Si el artista supiera vivir, no se dedicaría al arte, se dedicaría a vivir"
Trabajar,"El arte es un medio de expresión inconsciente y la expresión es vida. El arte se hace porque no se sabe vivir con la misma belleza que se expresa inconsciente. El artista no vive su propio arte ni su arte es lo que busca. El zapatero no viste buenos zapatos. El sastre no anda bien vestido. El sastre no es sastre por su amor a la sastrería, sino por el amor a la vida, a no querer caer en desmotivación. El arte viene de suerte. Si el artista encontrara la belleza en su vida, dejaría de ser artista, y se dedicaría solamente a vivir. Arte es todo lo que se hace con la habilidad, independientemente de ser estético. Ya no se ven artistas estéticos porque nada paga lo estético sino la utilidad, y así se da cuenta el mundo que nadie tiene amor por arte, sino necesidad de encontrarse un motivo en la vida y por sobre todo, lastimosamente, la necesidad de buscarse un sustento de vida, por lo cual importa nada si uno ama lo que hace o no, sino solamente lograr vivir. Si las personas pudieran dejar de trabajar por necesidad, lo harían. Y por encima de eso, si las personas pudieran dejar de hacer un arte por falta de motivo de vida, lo dejarían. El arte no existe sin la falta de motivo de vida. En el momento en que las personas se libren de sus dificultades de vida, dejarán de hacer todo lo que hacen y se dedicarán a vivir, como una persona que trabaja por necesidad dejará de trabajar en cuanto logre librarse de su necesidad. La inconsciencia es una deuda de la vida. Si el artista supiera vivir, no se dedicaría al arte, se dedicaría a vivir"
Mundo,"El arte es un medio de expresión inconsciente y la expresión es vida. El arte se hace porque no se sabe vivir con la misma belleza que se expresa inconsciente. El artista no vive su propio arte ni su arte es lo que busca. El zapatero no viste buenos zapatos. El sastre no anda bien vestido. El sastre no es sastre por su amor a la sastrería, sino por el amor a la vida, a no querer caer en desmotivación. El arte viene de suerte. Si el artista encontrara la belleza en su vida, dejaría de ser artista, y se dedicaría solamente a vivir. Arte es todo lo que se hace con la habilidad, independientemente de ser estético. Ya no se ven artistas estéticos porque nada paga lo estético sino la utilidad, y así se da cuenta el mundo que nadie tiene amor por arte, sino necesidad de encontrarse un motivo en la vida y por sobre todo, lastimosamente, la necesidad de buscarse un sustento de vida, por lo cual importa nada si uno ama lo que hace o no, sino solamente lograr vivir. Si las personas pudieran dejar de trabajar por necesidad, lo harían. Y por encima de eso, si las personas pudieran dejar de hacer un arte por falta de motivo de vida, lo dejarían. El arte no existe sin la falta de motivo de vida. En el momento en que las personas se libren de sus dificultades de vida, dejarán de hacer todo lo que hacen y se dedicarán a vivir, como una persona que trabaja por necesidad dejará de trabajar en cuanto logre librarse de su necesidad. La inconsciencia es una deuda de la vida. Si el artista supiera vivir, no se dedicaría al arte, se dedicaría a vivir"
Necesidad,"El arte es un medio de expresión inconsciente y la expresión es vida. El arte se hace porque no se sabe vivir con la misma belleza que se expresa inconsciente. El artista no vive su propio arte ni su arte es lo que busca. El zapatero no viste buenos zapatos. El sastre no anda bien vestido. El sastre no es sastre por su amor a la sastrería, sino por el amor a la vida, a no querer caer en desmotivación. El arte viene de suerte. Si el artista encontrara la belleza en su vida, dejaría de ser artista, y se dedicaría solamente a vivir. Arte es todo lo que se hace con la habilidad, independientemente de ser estético. Ya no se ven artistas estéticos porque nada paga lo estético sino la utilidad, y así se da cuenta el mundo que nadie tiene amor por arte, sino necesidad de encontrarse un motivo en la vida y por sobre todo, lastimosamente, la necesidad de buscarse un sustento de vida, por lo cual importa nada si uno ama lo que hace o no, sino solamente lograr vivir. Si las personas pudieran dejar de trabajar por necesidad, lo harían. Y por encima de eso, si las personas pudieran dejar de hacer un arte por falta de motivo de vida, lo dejarían. El arte no existe sin la falta de motivo de vida. En el momento en que las personas se libren de sus dificultades de vida, dejarán de hacer todo lo que hacen y se dedicarán a vivir, como una persona que trabaja por necesidad dejará de trabajar en cuanto logre librarse de su necesidad. La inconsciencia es una deuda de la vida. Si el artista supiera vivir, no se dedicaría al arte, se dedicaría a vivir"
Querencia,"El arte es un medio de expresión inconsciente y la expresión es vida. El arte se hace porque no se sabe vivir con la misma belleza que se expresa inconsciente. El artista no vive su propio arte ni su arte es lo que busca. El zapatero no viste buenos zapatos. El sastre no anda bien vestido. El sastre no es sastre por su amor a la sastrería, sino por el amor a la vida, a no querer caer en desmotivación. El arte viene de suerte. Si el artista encontrara la belleza en su vida, dejaría de ser artista, y se dedicaría solamente a vivir. Arte es todo lo que se hace con la habilidad, independientemente de ser estético. Ya no se ven artistas estéticos porque nada paga lo estético sino la utilidad, y así se da cuenta el mundo que nadie tiene amor por arte, sino necesidad de encontrarse un motivo en la vida y por sobre todo, lastimosamente, la necesidad de buscarse un sustento de vida, por lo cual importa nada si uno ama lo que hace o no, sino solamente lograr vivir. Si las personas pudieran dejar de trabajar por necesidad, lo harían. Y por encima de eso, si las personas pudieran dejar de hacer un arte por falta de motivo de vida, lo dejarían. El arte no existe sin la falta de motivo de vida. En el momento en que las personas se libren de sus dificultades de vida, dejarán de hacer todo lo que hacen y se dedicarán a vivir, como una persona que trabaja por necesidad dejará de trabajar en cuanto logre librarse de su necesidad. La inconsciencia es una deuda de la vida. Si el artista supiera vivir, no se dedicaría al arte, se dedicaría a vivir"
Sustento,"El arte es un medio de expresión inconsciente y la expresión es vida. El arte se hace porque no se sabe vivir con la misma belleza que se expresa inconsciente. El artista no vive su propio arte ni su arte es lo que busca. El zapatero no viste buenos zapatos. El sastre no anda bien vestido. El sastre no es sastre por su amor a la sastrería, sino por el amor a la vida, a no querer caer en desmotivación. El arte viene de suerte. Si el artista encontrara la belleza en su vida, dejaría de ser artista, y se dedicaría solamente a vivir. Arte es todo lo que se hace con la habilidad, independientemente de ser estético. Ya no se ven artistas estéticos porque nada paga lo estético sino la utilidad, y así se da cuenta el mundo que nadie tiene amor por arte, sino necesidad de encontrarse un motivo en la vida y por sobre todo, lastimosamente, la necesidad de buscarse un sustento de vida, por lo cual importa nada si uno ama lo que hace o no, sino solamente lograr vivir. Si las personas pudieran dejar de trabajar por necesidad, lo harían. Y por encima de eso, si las personas pudieran dejar de hacer un arte por falta de motivo de vida, lo dejarían. El arte no existe sin la falta de motivo de vida. En el momento en que las personas se libren de sus dificultades de vida, dejarán de hacer todo lo que hacen y se dedicarán a vivir, como una persona que trabaja por necesidad dejará de trabajar en cuanto logre librarse de su necesidad. La inconsciencia es una deuda de la vida. Si el artista supiera vivir, no se dedicaría al arte, se dedicaría a vivir"
Motivación,"El arte es un medio de expresión inconsciente y la expresión es vida. El arte se hace porque no se sabe vivir con la misma belleza que se expresa inconsciente. El artista no vive su propio arte ni su arte es lo que busca. El zapatero no viste buenos zapatos. El sastre no anda bien vestido. El sastre no es sastre por su amor a la sastrería, sino por el amor a la vida, a no querer caer en desmotivación. El arte viene de suerte. Si el artista encontrara la belleza en su vida, dejaría de ser artista, y se dedicaría solamente a vivir. Arte es todo lo que se hace con la habilidad, independientemente de ser estético. Ya no se ven artistas estéticos porque nada paga lo estético sino la utilidad, y así se da cuenta el mundo que nadie tiene amor por arte, sino necesidad de encontrarse un motivo en la vida y por sobre todo, lastimosamente, la necesidad de buscarse un sustento de vida, por lo cual importa nada si uno ama lo que hace o no, sino solamente lograr vivir. Si las personas pudieran dejar de trabajar por necesidad, lo harían. Y por encima de eso, si las personas pudieran dejar de hacer un arte por falta de motivo de vida, lo dejarían. El arte no existe sin la falta de motivo de vida. En el momento en que las personas se libren de sus dificultades de vida, dejarán de hacer todo lo que hacen y se dedicarán a vivir, como una persona que trabaja por necesidad dejará de trabajar en cuanto logre librarse de su necesidad. La inconsciencia es una deuda de la vida. Si el artista supiera vivir, no se dedicaría al arte, se dedicaría a vivir"
Bien,"El arte es un medio de expresión inconsciente y la expresión es vida. El arte se hace porque no se sabe vivir con la misma belleza que se expresa inconsciente. El artista no vive su propio arte ni su arte es lo que busca. El zapatero no viste buenos zapatos. El sastre no anda bien vestido. El sastre no es sastre por su amor a la sastrería, sino por el amor a la vida, a no querer caer en desmotivación. El arte viene de suerte. Si el artista encontrara la belleza en su vida, dejaría de ser artista, y se dedicaría solamente a vivir. Arte es todo lo que se hace con la habilidad, independientemente de ser estético. Ya no se ven artistas estéticos porque nada paga lo estético sino la utilidad, y así se da cuenta el mundo que nadie tiene amor por arte, sino necesidad de encontrarse un motivo en la vida y por sobre todo, lastimosamente, la necesidad de buscarse un sustento de vida, por lo cual importa nada si uno ama lo que hace o no, sino solamente lograr vivir. Si las personas pudieran dejar de trabajar por necesidad, lo harían. Y por encima de eso, si las personas pudieran dejar de hacer un arte por falta de motivo de vida, lo dejarían. El arte no existe sin la falta de motivo de vida. En el momento en que las personas se libren de sus dificultades de vida, dejarán de hacer todo lo que hacen y se dedicarán a vivir, como una persona que trabaja por necesidad dejará de trabajar en cuanto logre librarse de su necesidad. La inconsciencia es una deuda de la vida. Si el artista supiera vivir, no se dedicaría al arte, se dedicaría a vivir"
Humanos,"El arte es un medio de expresión inconsciente y la expresión es vida. El arte se hace porque no se sabe vivir con la misma belleza que se expresa inconsciente. El artista no vive su propio arte ni su arte es lo que busca. El zapatero no viste buenos zapatos. El sastre no anda bien vestido. El sastre no es sastre por su amor a la sastrería, sino por el amor a la vida, a no querer caer en desmotivación. El arte viene de suerte. Si el artista encontrara la belleza en su vida, dejaría de ser artista, y se dedicaría solamente a vivir. Arte es todo lo que se hace con la habilidad, independientemente de ser estético. Ya no se ven artistas estéticos porque nada paga lo estético sino la utilidad, y así se da cuenta el mundo que nadie tiene amor por arte, sino necesidad de encontrarse un motivo en la vida y por sobre todo, lastimosamente, la necesidad de buscarse un sustento de vida, por lo cual importa nada si uno ama lo que hace o no, sino solamente lograr vivir. Si las personas pudieran dejar de trabajar por necesidad, lo harían. Y por encima de eso, si las personas pudieran dejar de hacer un arte por falta de motivo de vida, lo dejarían. El arte no existe sin la falta de motivo de vida. En el momento en que las personas se libren de sus dificultades de vida, dejarán de hacer todo lo que hacen y se dedicarán a vivir, como una persona que trabaja por necesidad dejará de trabajar en cuanto logre librarse de su necesidad. La inconsciencia es una deuda de la vida. Si el artista supiera vivir, no se dedicaría al arte, se dedicaría a vivir"
Realidad,"Ni la percepción de la voluntad ni de la libertad son voluntarias, son consecuentes de cualquier cosa menos de la individualidad. Las causas son obra de cualquier cosa menos de la propia decisión. La consecuencia de las percepciones son de cualquier causa menos de la propia. Todo el mundo es un medio para que lo que no tiene forma se formalice. De pronto las personas se cuestionan su libertad y se dan cuenta que siempre se han sentido libre y nunca lo han sido, y nada es más cierto solamente hasta que cambia la percepción de la libertad, de lo contrario siempre han sido tan libres como creyeron serlo. Y el cambio ha sido debido a cualquier cosa menos al ser que se cuestiona su libertad. Hacer cuestionar a un ser su libertad es un medio para cambiar el estado de las cosas. Y debe ser así porque no se puede hacer de otra manera. Como querer sacar el contenido de un huevo sin quebrarlo de manera tan rápida y tan sencilla a como se quiebra un huevo. Nunca el huevó decidió quebrar su cascarón cuando se le golpeó ni le fue posibilidad no quebrarse. Asimismo nunca nada que cambia en nuestra integridad es voluntad propia. Ni es sensato actuar acorde a la percepción integral de las cosas si no se actúa con la misma integridad en otros aspectos de la vida, por ejemplo habiendo dejado una vida que juzga todo como recursos y no como esencias. No es congruente tener una percepción integral sobre el mundo, si se juzga que nada tiene sentido por si propio de existir como es y que a todo debe sérsele dado una razón. El ideal de quien aprende a pensar integralmente es desear que siendo un huevo, cuando se le golpee se le quiebre el cascarón, y cuando no no, no desear lo contrario o cosa alguna más. Desear la realidad, y estar concorde con ella, es poder pensar integralmente. Quien utilice este pensamiento para sugerir que suceda algo más está lejos de la congruencia"
Sentido,"Ni la percepción de la voluntad ni de la libertad son voluntarias, son consecuentes de cualquier cosa menos de la individualidad. Las causas son obra de cualquier cosa menos de la propia decisión. La consecuencia de las percepciones son de cualquier causa menos de la propia. Todo el mundo es un medio para que lo que no tiene forma se formalice. De pronto las personas se cuestionan su libertad y se dan cuenta que siempre se han sentido libre y nunca lo han sido, y nada es más cierto solamente hasta que cambia la percepción de la libertad, de lo contrario siempre han sido tan libres como creyeron serlo. Y el cambio ha sido debido a cualquier cosa menos al ser que se cuestiona su libertad. Hacer cuestionar a un ser su libertad es un medio para cambiar el estado de las cosas. Y debe ser así porque no se puede hacer de otra manera. Como querer sacar el contenido de un huevo sin quebrarlo de manera tan rápida y tan sencilla a como se quiebra un huevo. Nunca el huevó decidió quebrar su cascarón cuando se le golpeó ni le fue posibilidad no quebrarse. Asimismo nunca nada que cambia en nuestra integridad es voluntad propia. Ni es sensato actuar acorde a la percepción integral de las cosas si no se actúa con la misma integridad en otros aspectos de la vida, por ejemplo habiendo dejado una vida que juzga todo como recursos y no como esencias. No es congruente tener una percepción integral sobre el mundo, si se juzga que nada tiene sentido por si propio de existir como es y que a todo debe sérsele dado una razón. El ideal de quien aprende a pensar integralmente es desear que siendo un huevo, cuando se le golpee se le quiebre el cascarón, y cuando no no, no desear lo contrario o cosa alguna más. Desear la realidad, y estar concorde con ella, es poder pensar integralmente. Quien utilice este pensamiento para sugerir que suceda algo más está lejos de la congruencia"
Vida,"Ni la percepción de la voluntad ni de la libertad son voluntarias, son consecuentes de cualquier cosa menos de la individualidad. Las causas son obra de cualquier cosa menos de la propia decisión. La consecuencia de las percepciones son de cualquier causa menos de la propia. Todo el mundo es un medio para que lo que no tiene forma se formalice. De pronto las personas se cuestionan su libertad y se dan cuenta que siempre se han sentido libre y nunca lo han sido, y nada es más cierto solamente hasta que cambia la percepción de la libertad, de lo contrario siempre han sido tan libres como creyeron serlo. Y el cambio ha sido debido a cualquier cosa menos al ser que se cuestiona su libertad. Hacer cuestionar a un ser su libertad es un medio para cambiar el estado de las cosas. Y debe ser así porque no se puede hacer de otra manera. Como querer sacar el contenido de un huevo sin quebrarlo de manera tan rápida y tan sencilla a como se quiebra un huevo. Nunca el huevó decidió quebrar su cascarón cuando se le golpeó ni le fue posibilidad no quebrarse. Asimismo nunca nada que cambia en nuestra integridad es voluntad propia. Ni es sensato actuar acorde a la percepción integral de las cosas si no se actúa con la misma integridad en otros aspectos de la vida, por ejemplo habiendo dejado una vida que juzga todo como recursos y no como esencias. No es congruente tener una percepción integral sobre el mundo, si se juzga que nada tiene sentido por si propio de existir como es y que a todo debe sérsele dado una razón. El ideal de quien aprende a pensar integralmente es desear que siendo un huevo, cuando se le golpee se le quiebre el cascarón, y cuando no no, no desear lo contrario o cosa alguna más. Desear la realidad, y estar concorde con ella, es poder pensar integralmente. Quien utilice este pensamiento para sugerir que suceda algo más está lejos de la congruencia"
Pensar,"Ni la percepción de la voluntad ni de la libertad son voluntarias, son consecuentes de cualquier cosa menos de la individualidad. Las causas son obra de cualquier cosa menos de la propia decisión. La consecuencia de las percepciones son de cualquier causa menos de la propia. Todo el mundo es un medio para que lo que no tiene forma se formalice. De pronto las personas se cuestionan su libertad y se dan cuenta que siempre se han sentido libre y nunca lo han sido, y nada es más cierto solamente hasta que cambia la percepción de la libertad, de lo contrario siempre han sido tan libres como creyeron serlo. Y el cambio ha sido debido a cualquier cosa menos al ser que se cuestiona su libertad. Hacer cuestionar a un ser su libertad es un medio para cambiar el estado de las cosas. Y debe ser así porque no se puede hacer de otra manera. Como querer sacar el contenido de un huevo sin quebrarlo de manera tan rápida y tan sencilla a como se quiebra un huevo. Nunca el huevó decidió quebrar su cascarón cuando se le golpeó ni le fue posibilidad no quebrarse. Asimismo nunca nada que cambia en nuestra integridad es voluntad propia. Ni es sensato actuar acorde a la percepción integral de las cosas si no se actúa con la misma integridad en otros aspectos de la vida, por ejemplo habiendo dejado una vida que juzga todo como recursos y no como esencias. No es congruente tener una percepción integral sobre el mundo, si se juzga que nada tiene sentido por si propio de existir como es y que a todo debe sérsele dado una razón. El ideal de quien aprende a pensar integralmente es desear que siendo un huevo, cuando se le golpee se le quiebre el cascarón, y cuando no no, no desear lo contrario o cosa alguna más. Desear la realidad, y estar concorde con ella, es poder pensar integralmente. Quien utilice este pensamiento para sugerir que suceda algo más está lejos de la congruencia"
Recurso,"Ni la percepción de la voluntad ni de la libertad son voluntarias, son consecuentes de cualquier cosa menos de la individualidad. Las causas son obra de cualquier cosa menos de la propia decisión. La consecuencia de las percepciones son de cualquier causa menos de la propia. Todo el mundo es un medio para que lo que no tiene forma se formalice. De pronto las personas se cuestionan su libertad y se dan cuenta que siempre se han sentido libre y nunca lo han sido, y nada es más cierto solamente hasta que cambia la percepción de la libertad, de lo contrario siempre han sido tan libres como creyeron serlo. Y el cambio ha sido debido a cualquier cosa menos al ser que se cuestiona su libertad. Hacer cuestionar a un ser su libertad es un medio para cambiar el estado de las cosas. Y debe ser así porque no se puede hacer de otra manera. Como querer sacar el contenido de un huevo sin quebrarlo de manera tan rápida y tan sencilla a como se quiebra un huevo. Nunca el huevó decidió quebrar su cascarón cuando se le golpeó ni le fue posibilidad no quebrarse. Asimismo nunca nada que cambia en nuestra integridad es voluntad propia. Ni es sensato actuar acorde a la percepción integral de las cosas si no se actúa con la misma integridad en otros aspectos de la vida, por ejemplo habiendo dejado una vida que juzga todo como recursos y no como esencias. No es congruente tener una percepción integral sobre el mundo, si se juzga que nada tiene sentido por si propio de existir como es y que a todo debe sérsele dado una razón. El ideal de quien aprende a pensar integralmente es desear que siendo un huevo, cuando se le golpee se le quiebre el cascarón, y cuando no no, no desear lo contrario o cosa alguna más. Desear la realidad, y estar concorde con ella, es poder pensar integralmente. Quien utilice este pensamiento para sugerir que suceda algo más está lejos de la congruencia"
